Status Name,Buff/Ailment,Appearance,Duration,Description,Inflicted By,Healed By,Prevented By,
Blind,Ailment,Sunglasses,Permanent,"Halves Hit Rate, prevents learning Lores.","Enemy Special, Flash, Reflect???, Sour Mouth, Rippler,","Clear, Schiller, Mind Blast, Train, Evil Toot, Disaster","Remedy(spell), Eyedrops, Unicorn, Mantra, Spiraler, Harvester, Tapir, Wild Bear, Pep Up, Rippler, Lagomorph, Eyedrops, Remedy(item), Sleeping Bag, Tent, Death","Goggles, Fairy Ring, Amulet, Ribbon, Monster Immunity"
Zombie,Ailment,Grey-ish skin,Permanent,"Causes target to only use Fight, target randomly, 1/16 chance of inflicting Blind/Poison on hit.","Enemy Special, Rippler, ChokeSmoke, Mind Blast, Soul Out","Spiraler, Tapir, Wild Bear, Pep Up, Rippler, Revivify, Sleeping Bag, Tent","Amulet, Ribbon, Safety Bit, Memento Ring, Monster Immunity",
Poison,Ailment,"Purple skin, near fatal sprite, green bubbles",Permanent,Deals increasing damage up to 8x base by 1x/tick. Deals 1/32 max HP damage/step out of combat.,"Enemy Special, Poison, Bio, Pois. Frog, Bio Blast, Bio Blast, Sour Mouth, Rippler, Clear, Virite, Mind Blast, Evil Toot","Antdot, Remedy, Unicorn, Mantra, Spiraler, Harvester, Tapir, Wild Bear, Pep Up, Rippler, Lagomorph, Antidote, Remedy, Sleeping Bag, Tent, Death","Star Pendant, Fairy Ring, Amulet, Ribbon, Monster Immunity",
MagiTek,Buff,Magitek Armor,Permanent,"Gives access to 6 Magitek skills, or 8 if the target is Terra.",Specific Event Bits,Specific Event Bits,None,
Vanish,Buff,Character becomes transparent,Permanent,"Gives ultimate evasional priority, gives ultimate magical accuracy priority to enemies.","Enemy Special, Vanish, Phantom, Rippler, Inviz Edge","Any sort of magical attack(except Phantom), Death",Monster Immunity,
Imp,Ailment,Character looks like Imp sprite,Permanent,"Reduces Attack and Physical Defense values to natural values, restricts most commands.","Enemy Special, Imp, Sour Mouth, Rippler, Imp Song, Clear, Mind Blast, Evil Toot, Disaster","Spiraler, Tapir, Rippler, Green Cherry, Remedy(item), Sleeping Bag, Tent","White Cape, Ribbon, Monster Immunity",
Petrify,Ailment,Character looks completely grey,Permanent,"Character cannot take actions, takes 0 damage(except 1 from 3rd tier AtmaWeapon).","Enemy Special, Break, Shoat, Cokatrice, Delta Hit, Mind Blast, Dread","Remedy(spell), Unicorn, Spiraler, Harvester, Tapir, Wild Bear, Pep Up, Soft, Remedy(item), Sleeping Bag, Tent, Death","Jewel Ring, Safety Bit, Memento Ring, Ribbon, Monster Immunity",
Death,Ailment,Character is down on the ground,Permanent,"Character cannot take action, mostly untargetable.","Enemy Special, Doom, X-Zone, Cleave, Antlion, Snare, X-fer, Roulette, L.5 Doom, Blaster, SabreSoul, Star Prism, X-type Death, Scimitar, Condemned(status), Chain Saw","Life, Life 2, Reraise, Phoenix, Phoenix Down, Tent","Safety Bit, Memento Ring, Monster Immunity(note Monster Specials ignore immunity)",
Condemned,Ailment,Character has timer above head,Temporary,Kills target when timer expires unless undead.,"Enemy Special, Condemned, Rippler, Clear, Mind Blast, Evil Toot, Disaster, Overcast","Spiraler, Tapir, Wild Bear, Pep Up, Rippler, Death",Monster Immunity,
Near Fatal,Buff,Character crouches on ground,End of Battle,"Character receives SOS buffs, can be guarded by True Knight, can execute Desperation Attacks.","Enemy Special, Loss of 7/8 HP","Healing, Death",Monster Immunity,
Image,Buff,Character has clones behind them,End of Battle,Character dodges dodgeable physicals. Status has a 1/4 chance of being removed after dodging an attack.,"Enemy Special, Fenrir, Rippler, Shadow Edge","Suffering Attacks, Rippler, Death",Monster Immunity,
Mute,Ailment,Speech bubble above head,End of Battle,"Character cannot use spells, or many skills","Enemy Special, Mute, Siren, Reflect???, Sour Mouth, Rippler, Clear, Mute, Mind Blast, Train, Disaster","Remedy, Unicorn, Mantra, Spiraler, Harvester, Tapir, Wild Bear, Pep Up, Rippler, Echo Screen, Remedy(item), Death","White Cape, Ribbon, Monster Immunity",
Berserk,Ailment,Character's skin turns red,End of Battle,"Character only uses physical attacks, dealing 1.5x normal damage.","Enemy Special, Bserk, Rippler, Megazerk, Mind Blast, Evil Toot","Dispel, Spiraler, Tapir, Wild Bear, Pep Up, Rippler, Death","Peace Ring, Ribbon, Monster Immunity",
Confuse,Ailment,Character spins in circles with green swoosh,End of Battle,Character explicitly targets own party with random attack.,"Enemy Special, Muddle, Stray, Specter, Confuser, L.3 Muddle, Sour Mouth, Rippler, Stone, Clear, Confusion, Mind Blast, Evil Toot, Disaster, NoiseBlaster","Remedy, Unicorn, Spiraler, Harvester, Tapir, Wild Bear, Pep Up, Rippler, Death, Physical Damage","Peace Ring, Ribbon, Monster Immunity",
Seizure,Ailment,None,End of Battle,Character loses HP periodically.,"Enemy Special, Slash, Sonic Boom, Cave In, Snowball, Bio Blast(MagiTek), TekMissile, Rippler, Clear, Acid Rain, Mind Blast, HyperDrive, Evil Toot, Missile, ShadowFang","Antdot, Remedy(spell), Regen, Unicorn, Mantra, Spiraler, Harvester, Tapir, Wild Bear, Pep Up, Rippler, Remedy(item), Death","Auto-Regen, Monster Immunity",
Sleep,Ailment,"Character takes near fatal sprite, Z's overhead",Temporary,"Character cannot take action or dodge, heals after time passes.","Enemy Special, Sleep, Sour Mouth, Rippler, Clear, Lullaby, Mind Blast","Remedy(spell), Unicorn, Spiraler, Harvester, Tapir, Wild Bear, Pep Up, Rippler, Lagomorph, Death, Physical Damage, Time Elapse","Ribbon, Monster Immunity",
